Venue Name,Status,Location,Venue Type,Booking Season,Link,Genre,PA,Rate,Notes,Contact Person,Phone,Email,Next Follow-up Date,Preferred Method
SandBar,Booked,"LaSalle, MI",Outdoor Bar,Oct,,Country,No,,"Austin does booking, Jeff is the owner. Only books bands 2 gigs per year unless fill-in gig for a canceled band",Austin Lada,419-460-4853,,,Phone
Simply Unique Pop-Up Markets,Lead,,,,,,,,,,,,,
Sonic Lunch,Lead,"Ann Arbor, MI",,,,,,,,,,,,
Southeast Michigan Craft Beer & Wine Tasting Festival (Sat 8/11/25),Lead,Huron Twp,,,Eventbrite,,,,DJ Scott for this year,Huron Twp Rotary Club,,,,
The Post,Lead,Plymouth,Indoor Bar,,,,,,,,,,,
Tin Roof,Rejected,"Detroit, MI",Indoor Bar,,,Unknown,,,Rejected in 2024; Need to reach out again with new EPK,,,music@tinroofbars.com,,
Troy Family Daze,Lead,"Troy, MI",Festival,,https://troyfamilydaze.com/,,,,,,,,,
"Toledo Jeep Fest (Toledo, OH)",Lead,,Festival,,,,,,,,,,,
Uncle Lyle's Tavern and Grille,Booked,"Dundee, MI",,,,,,$400/night,,,,,,
"Uncle Sam Jam (Woodhaven, MI)",Applied (Festival),,Festival,,https://www.uncle-sam-jam.com/,,,,Web-based submission,,,,,
Uncorked: Detroit Wine Fest (May 2025),Lead,"Detroit, MI",Festival,,Website,,,,,,,uncorkedfestivals@gmail.com,,
Verna's Bar & Grill,Rejected,"Newport, MI",Indoor/Outdoor,Year-round,,Unknown,No,,Will not pay >$400 per night. Requires PA.,,,,,Facebook
Vodka Fest (Sat 1/31),Lead,"Royal Oak, MI",,,Eventbrite,,,,Entertainment TBD!,,,infok9charities@gmail.com,,
Whiskey & Wine Fest (Sat 12/6),Lead,"Royal Oak, MI",Festival,,Eventbrite,,,,Already booked Cosmic Groove (as of 9/15),,,infok9charities@gmail.c​om,,
Whiskey Classic (March 2026?),Lead,"Grosse Pointe Farms, MI",Festival,,Website,,,,Booked Cosmic Groove in 2025,,,TheWhiskeyClassic@gmail.com,,
Winter Blast,Follow-up Needed,"Royal Oak, MI",Festival,,https://www.winterblast.com/live-music,,Yes,,,,,,,
Wyandotte Beer Fest,Lead,"Wyandotte, MI",Festival,,Website,,,,,,,,,
"Wyandotte Street Art Fair (Wyandotte, MI)",Contacted,"Wyandotte, MI",Festival,,https://wyandotte.net/arts_and_culture/street_art_fair/index.php,All,,,,"Thiede-Champlin, Heather",734-324- 4502,events@wyan.org,,
The Waterfront Wyandotte,,"Wyandotte, MI",,,,,,,,,,,,
Uptown Grille,,"Commerce Twp, MI",,,,,,,,,,,,
Pour House,Contacted,"Wyandotte, MI",Indoor Bar,Year-round,,,,,,,,thepourhouse2075@gmail.com,,
Bier Stube Bar & Grill,In Discussion,,,,,,,,,,,,,
Michigan Wine and Beer Portal,Contacted,,,,,,,,,,,,,
Round House Bar,Contacted,,,,,,,,,,,,,
Elba-Mar Boat Club,In Discussion,,,,,,,,,,,,,
The Grumpy Goat Brewing Co,Contacted,,,,,,,,,,,,,
Glenn Shannon,In Discussion,,,,,,,,,,,,,
Venture Brewing,Contacted,,,,,,,,,,,,,
Livonia parks and rec,Contacted,"Livonia, Michigan",Festival,Feb,,,No,800,2hr,Facebook ,,,,
Belleville Bait Shop,Contacted,"Belleville, Michigan",Indoor Bar,Year-round,,,,,,Website,,,,
One Under Bar,Contacted,"Livonia, Michigan",Indoor/Outdoor,Year-round,,,,,,,,oneunderbanquets@gmail.com,,
Chatters Bar,Contacted,"Westland, Michigan",Indoor Bar,Year-round,,,Yes,,,,,chatters7640@hotmail.com,,
Club Canton (again),Contacted,"Canton, Michigan",Indoor Bar,Year-round,,,,,,,,Clubcantonbar@gmail.com,,
Downtown Pourhouse,Contacted,"Plymouth, Michigan",Indoor/Outdoor,,,,,,new owners ,,,thegoat@dtpourhouse.com,,
Sunday Social (Wyandotte),Contacted,"Wyandotte, MI",Indoor/Outdoor,,,,,,,,,,,
Mid Michigan Bridal Expo,Contacted,"Ann Arbor, MI",Private Club,,,,,,,,,,,
